Date,RACE_GROUP,CASE_RATE_ADJ,HOSPITALIZED_RATE_ADJ,DEATH_RATE_ADJ,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
2020-11-15,Asian/Pacific-Islander,957.34,289.17,108.52,12908,4022,1452
2020-11-15,Black/African-American,2010.98,744.44,246.72,40329,15879,5371
2020-11-15,Hispanic/Latino,2296.0,746.17,263.98,55478,17627,6004
2020-11-15,White,1516.19,354.98,125.63,45113,12608,4954
2020-11-15,Totals,6780.51,2134.76,744.85,153828,50136,17781
2020-11-14,Asian/Pacific-Islander,951.54,288.77,108.52,12827,4016,1452
2020-11-14,Black/African-American,2003.85,743.9,246.49,40198,15868,5366
2020-11-14,Hispanic/Latino,2283.27,745.63,263.83,55169,17614,6001
2020-11-14,White,1505.13,354.43,125.55,44810,12591,4951
2020-11-14,Totals,6743.79,2132.73,744.3899999999999,153004,50089,17770
2020-11-13,Asian/Pacific-Islander,943.57,288.02,108.31,12730,4005,1449
2020-11-13,Black/African-American,1996.04,743.01,246.44,40049,15851,5365
2020-11-13,Hispanic/Latino,2269.67,743.95,263.68,54840,17574,5998
2020-11-13,White,1496.94,353.62,125.5,44596,12567,4949
2020-11-13,Totals,6706.220000000001,2128.6,743.9300000000001,152215,49997,17761
2020-11-12,Asian/Pacific-Islander,920.97,286.77,108.22,12444,3988,1448
2020-11-12,Black/African-American,1978.27,741.8,246.4,39717,15826,5364
2020-11-12,Hispanic/Latino,2228.51,741.16,263.56,53833,17506,5995
2020-11-12,White,1462.48,352.36,125.45,43691,12518,4947
2020-11-12,Totals,6590.23,2122.09,743.6300000000001,149685,49838,17754
2020-11-11,Asian/Pacific-Islander,919.97,286.63,108.22,12431,3986,1448
2020-11-11,Black/African-American,1977.53,741.63,246.41,39702,15822,5364
2020-11-11,Hispanic/Latino,2227.43,741.09,263.52,53806,17504,5994
2020-11-11,White,1460.71,352.28,125.43,43640,12514,4946
2020-11-11,Totals,6585.64,2121.63,743.5799999999999,149579,49826,17752
2020-11-10,Asian/Pacific-Islander,920.61,284.42,107.93,12439,3955,1444
2020-11-10,Black/African-American,1978.2,733.14,246.37,39716,15652,5363
2020-11-10,Hispanic/Latino,2228.22,732.35,263.47,53825,17296,5993
2020-11-10,White,1461.92,347.87,125.43,43671,12363,4945
2020-11-10,Totals,6588.95,2097.7799999999997,743.2,149651,49266,17745
2020-11-09,Asian/Pacific-Islander,919.55,286.54,107.79,12427,3984,1442
2020-11-09,Black/African-American,1977.08,741.24,246.46,39696,15815,5365
2020-11-09,Hispanic/Latino,2226.8,740.89,263.53,53787,17499,5994
2020-11-09,White,1460.42,351.81,125.31,43632,12498,4942
2020-11-09,Totals,6583.85,2120.48,743.0899999999999,149542,49796,17743
2020-11-09,Asian/Pacific-Islander,918.44,286.54,107.79,12413,3984,1442
2020-11-09,Black/African-American,1975.51,741.11,246.46,39667,15812,5365
2020-11-09,Hispanic/Latino,2225.31,740.72,263.53,53751,17495,5994
2020-11-09,White,1458.22,351.79,125.31,43566,12497,4942
2020-11-09,Totals,6577.4800000000005,2120.1600000000003,743.0899999999999,149397,49788,17743
